,State,Republican/lean Rep.,No lean,Democrat/lean Dem.,Sample Size
0,Alabama,52%,13%,35%,511
1,Alaska,39%,29%,32%,310
2,Arizona,40%,21%,39%,653
3,Arkansas,46%,16%,38%,311
4,California,30%,21%,49%,3697
5,Colorado,41%,17%,42%,504
6,Connecticut,32%,18%,50%,377
7,Delaware,29%,17%,55%,301
8,District of Columbia,11%,15%,73%,303
9,Florida,37%,19%,44%,2020
10,Georgia,41%,18%,41%,968
11,Hawaii,28%,20%,51%,312
12,Idaho,49%,19%,32%,320
13,Illinois,33%,19%,48%,1326
14,Indiana,42%,20%,37%,654
15,Iowa,41%,19%,40%,330
16,Kansas,46%,23%,31%,307
17,Kentucky,44%,13%,43%,439
18,Louisiana,41%,16%,43%,465
19,Maine,36%,17%,47%,303
20,Maryland,31%,14%,55%,644
21,Massachusetts,27%,17%,56%,704
22,Michigan,34%,19%,47%,982
23,Minnesota,39%,15%,46%,563
24,Mississippi,44%,14%,42%,309
25,Missouri,41%,18%,42%,642
26,Montana,49%,21%,30%,312
27,Nebraska,47%,17%,36%,312
28,Nevada,37%,18%,46%,314
29,New Hampshire,35%,20%,44%,303
30,New Jersey,30%,19%,51%,886
31,New Mexico,37%,15%,48%,312
32,New York,28%,19%,53%,1966
33,North Carolina,41%,17%,43%,1022
34,North Dakota,50%,18%,33%,338
35,Ohio,42%,18%,40%,1132
36,Oklahoma,45%,15%,40%,391
37,Oregon,32%,21%,47%,419
38,Pennsylvania,39%,15%,46%,1366
39,Rhode Island,30%,22%,48%,305
40,South Carolina,43%,18%,39%,495
41,South Dakota,53%,10%,37%,305
42,Tennessee,48%,15%,36%,661
43,Texas,39%,21%,40%,2535
44,Utah,54%,16%,30%,315
45,Vermont,29%,14%,57%,306
46,Virginia,43%,18%,39%,882
47,Washington,33%,23%,44%,714
48,West Virginia,43%,16%,41%,309
49,Wisconsin,42%,16%,42%,600
50,Wyoming,57%,18%,25%,316
51,"Sample size = 511. Visit this table to see approximate margins of error for a group of a given size. For full question wording, see the survey questionnaire. Sample sizes and margins of error vary from subgroup to subgroup, from year to year and from state to state. You can see the sample size for the estimates in this chart on rollover or in the last column of the table. And visit this table to see approximate margins of error for a group of a given size. Readers should always bear in mind the approximate margin of error for the group they are examining when making comparisons with other groups or assessing the significance of trends over time. For full question wording, see the survey questionnaire.","Sample size = 511. Visit this table to see approximate margins of error for a group of a given size. For full question wording, see the survey questionnaire. Sample sizes and margins of error vary from subgroup to subgroup, from year to year and from state to state. You can see the sample size for the estimates in this chart on rollover or in the last column of the table. And visit this table to see approximate margins of error for a group of a given size. Readers should always bear in mind the approximate margin of error for the group they are examining when making comparisons with other groups or assessing the significance of trends over time. For full question wording, see the survey questionnaire.","Sample size = 511. Visit this table to see approximate margins of error for a group of a given size. For full question wording, see the survey questionnaire. Sample sizes and margins of error vary from subgroup to subgroup, from year to year and from state to state. You can see the sample size for the estimates in this chart on rollover or in the last column of the table. And visit this table to see approximate margins of error for a group of a given size. Readers should always bear in mind the approximate margin of error for the group they are examining when making comparisons with other groups or assessing the significance of trends over time. For full question wording, see the survey questionnaire.","Sample size = 511. Visit this table to see approximate margins of error for a group of a given size. For full question wording, see the survey questionnaire. Sample sizes and margins of error vary from subgroup to subgroup, from year to year and from state to state. You can see the sample size for the estimates in this chart on rollover or in the last column of the table. And visit this table to see approximate margins of error for a group of a given size. Readers should always bear in mind the approximate margin of error for the group they are examining when making comparisons with other groups or assessing the significance of trends over time. For full question wording, see the survey questionnaire.","Sample size = 511. Visit this table to see approximate margins of error for a group of a given size. For full question wording, see the survey questionnaire. Sample sizes and margins of error vary from subgroup to subgroup, from year to year and from state to state. You can see the sample size for the estimates in this chart on rollover or in the last column of the table. And visit this table to see approximate margins of error for a group of a given size. Readers should always bear in mind the approximate margin of error for the group they are examining when making comparisons with other groups or assessing the significance of trends over time. For full question wording, see the survey questionnaire."
